-3.4,-0.0228435652,-3.4,-0.0234708404,-3.4,-0.024991649,-3.4,-0.0271619351
-3.3,-0.0230907302,-3.3,-0.0236564517,-3.3,-0.0253703322,-3.3,-0.0282298584
-3.2,-0.0232912401,-3.2,-0.023941769,-3.2,-0.0261131,-3.2,-0.0293406595
-3.1,-0.0233716415,-3.1,-0.0241236285,-3.1,-0.026477997,-3.1,-0.030382057
-3,-0.0233947485,-3,-0.0243571472,-3,-0.0271171771,-3,-0.0314141452
-2.9,-0.0236062246,-2.9,-0.0245903485,-2.9,-0.0275324099,-2.9,-0.0324534006
-2.8,-0.0236651598,-2.8,-0.0248009372,-2.8,-0.0281556108,-2.8,-0.0334478632
-2.7,-0.0237936585,-2.7,-0.0249652555,-2.7,-0.0284679372,-2.7,-0.0343020843
-2.6,-0.0239107247,-2.6,-0.0251660543,-2.6,-0.0289401101,-2.6,-0.0351678834
-2.5,-0.0240748558,-2.5,-0.0253870183,-2.5,-0.0293457584,-2.5,-0.0359517444
-2.4,-0.0242153954,-2.4,-0.0255909617,-2.4,-0.029794836,-2.4,-0.0366646189
-2.3,-0.0243560335,-2.3,-0.0257619289,-2.3,-0.0300264381,-2.3,-0.0371560272
-2.2,-0.0245433908,-2.2,-0.0260228867,-2.2,-0.0303854997,-2.2,-0.0376497765
-2.1,-0.0247309394,-2.1,-0.0261834356,-2.1,-0.0305419683,-2.1,-0.0378292456
-2,-0.0249423444,-2,-0.0263947929,-2,-0.0306684853,-2,-0.0379761474
-1.9,-0.0252001774,-1.9,-0.0266054569,-1.9,-0.0307997139,-1.9,-0.0378117423
-1.8,-0.0254814811,-1.8,-0.0268136415,-1.8,-0.0307442975,-1.8,-0.0375552412
-1.7,-0.0257150558,-1.7,-0.0269335951,-1.7,-0.0305495895,-1.7,-0.0366019008
-1.6,-0.0260069014,-1.6,-0.0270875711,-1.6,-0.0301792745,-1.6,-0.0356436777
-1.5,-0.0263528099,-1.5,-0.0271912591,-1.5,-0.0297409655,-1.5,-0.0339998478
-1.4,-0.0267913106,-1.4,-0.0272653925,-1.4,-0.0290860879,-1.4,-0.0322904204
-1.3,-0.0269569855,-1.3,-0.0273084083,-1.3,-0.0281844673,-1.3,-0.0296681212
-1.2,-0.0276609987,-1.2,-0.027923208,-1.2,-0.0276525233,-1.2,-0.0269541495
-1.1,-0.027800569,-1.1,-0.0272615482,-1.1,-0.0257148787,-1.1,-0.0231488098
-1,-0.0282425706,-1,-0.0271668022,-1,-0.0240649498,-1,-0.0191826713
