3jets_bin1,,3jets_bin2,,3jet_bin3,,4jets_bin1,,4jet_bin2,,4jets_bin3,,5jets_bin1,,5jets_bin2,,5jets_bin3,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.04844594834177762,1.049180401934418,8.176615944605018,1.0383495446220188,14.373668473430811,1.0243337451562555,21.166323410459718,1.0635834815624832,27.21960795089283,1.049236168714039,33.28100910884764,1.0283462301280628,38.2398905081507,1.0622656541074618,43.98202171465814,1.050660911087626,50.319186904425294,1.0345853576016717
0.8671206407105716,1.0485678407574563,8.786433321920732,1.0377994539125313,14.833685176312187,1.0208192054101812,21.818030997387908,1.0633222990630973,27.788566184339885,1.0459339761790845,33.8374415377441,1.025040379050946,38.889899695055135,1.0555634571746197,44.758705730499905,1.0476449088520519,51.13596772688201,1.0285512505568186
1.498827390428496,1.0456986626961435,9.151329088336364,1.02889772660289,15.601713990606669,1.0156888351823639,22.03575154003754,1.0504922731933002,28.32094698641516,1.0367996852447199,34.71059019936386,1.0188704712172356,39.333462478382806,1.049969489052724,45.532194813246306,1.0391137925453076,52.07914787236966,1.0241236146048533
2.194180732969971,1.040036614629658,9.919735519726803,1.0228224732949913,16.337319055249008,1.0121311197923373,22.706195119280494,1.0473093493516152,29.10431377094958,1.0298575564022108,35.396535151668154,1.0157628692097247,39.82654462916841,1.0458672082346,46.267953564220704,1.031970620316013,52.76055432335379,1.0206811743934727
3.107427625402207,1.03364747264304,10.801347965765114,1.01575851267522,16.972898748812575,1.0094075376660228,23.09339845692678,1.03433377165647,30.044947528248727,1.0236620105956593,36.06108489173336,1.0132519665276398,40.29711368542533,1.0360466271374618,47.202255727806204,1.0258144078733824,53.71762271785071,1.0167316202294037
3.985306227998657,1.024437156551544,11.770300512210483,1.0081042000954468,17.75856908852275,1.0087399911110808,23.81477297501548,1.0327651228390822,31.02992782403679,1.0162504546362614,37.04487320274017,1.009406576382161,41.05919807047503,1.0289591397837432,47.89126136517808,1.022481700198596,54.45291461067147,1.0129371842550046
4.8509426103604705,1.017062688460702,12.738707750935529,1.0014601886127381,18.276972534575382,1.0065822671222655,24.11265557084001,1.0233429725214709,31.873825621058096,1.0110027277718028,37.409744869833126,1.006163912244908,41.92835886593699,1.0203891885798315,48.39340409978288,1.0172446243945605,54.79477142871864,1.0131254765658402
5.495453465277671,1.010421869042927,13.50129688878356,0.9936162037824156,19.135729214430587,1.0040338335986645,24.7589935702252,1.0209140838730115,32.20142157544636,1.0000736025256016,,,42.79744041524885,1.013893778813423,49.07851093783007,1.0084200192107549,,
6.005662231043362,1.0046616923307599,13.94335177771939,0.9953934920426384,19.85440575459693,1.0012412346500716,25.36063733597119,1.0125133390134826,32.97382729135036,1.0043194626170258,,,43.29394709861565,1.0016188909411268,49.73379418538155,1.005939861898947,,
6.662514189640576,0.9995797279624792,,,20.58913313961576,0.9996043049136941,25.966053377950203,1.0096379656206336,,,,,43.840950014683386,1.003143233473469,,,,
7.091337730202899,0.9887962318060614,,,20.921674390693966,1.0050067680145274,26.238274548292864,0.9964128322078935,,,,,,,,,,
7.7819672637907855,0.9889200374039783,,,,,26.877058088223926,1.000245582347357,,,,,,,,,,
